poll_id,pollster,candidate_name,sample_size,pct,start_date,transparency_score,numeric_grade,pollscore,end_date,days_to_election
17176,YouGov,Donald Trump,778,46.7,2023-02-03,4,1.4,-1.4,2023-02-12,632
17871,Ipsos,Nikki Haley,2516,67.3,2023-12-23,2.8,3.5,-0.8,2024-01-01,309
14316,TIPP Insights,Joe Biden,975,67.9,2023-11-15,7.4,3.3,0.3,2023-11-19,352
12448,Redfield & Wilton Strategies,Kamala Harris,852,44.7,2023-07-17,7.9,1.7,-0.5,2023-07-19,475
18574,TIPP Insights,Kamala Harris,1796,65.1,2023-06-28,4.8,1.2,-1,2023-07-04,490
15408,YouGov,Donald Trump,524,43.2,2023-02-25,3.6,3,-0.2,2023-03-02,614
16802,TIPP Insights,Donald Trump,1710,32.6,2023-05-04,8.7,1.2,1.2,2023-05-09,546
13894,YouGov,Nikki Haley,1670,65.8,2023-06-15,8.7,2.7,-1.4,2023-06-24,500
12338,Redfield & Wilton Strategies,Kamala Harris,2899,66,2023-02-04,2.6,1.1,0.3,2023-02-06,638
12518,Gallup,Kamala Harris,1691,35.3,2023-04-16,7.6,2.6,-0.6,2023-04-22,563
19572,YouGov,Nikki Haley,1768,32.7,2023-09-03,4.5,3.9,1.3,2023-09-10,422
13843,Gallup,Kamala Harris,2643,48.8,2023-01-08,8.4,3.5,0.6,2023-01-13,662
15259,Ipsos,Donald Trump,2112,40,2023-11-19,3.2,2.5,-0.5,2023-11-26,345
11703,Ipsos,Kamala Harris,1810,57.9,2023-06-04,5.5,1.4,-0.5,2023-06-06,518
19665,TIPP Insights,Joe Biden,1102,41.2,2023-04-06,4.6,1.5,0.4,2023-04-11,574
10132,TIPP Insights,Kamala Harris,992,61.8,2023-04-23,8.9,2.3,0.1,2023-04-26,559
18449,Gallup,Nikki Haley,530,52.6,2023-04-05,8.6,2.8,1.1,2023-04-15,570
17032,Ipsos,Donald Trump,1643,32.3,2023-05-25,3.1,3.5,0.3,2023-06-04,520
15312,TIPP Insights,Kamala Harris,2933,39.9,2023-08-18,5.9,2,-0.8,2023-08-19,444
18086,Ipsos,Nikki Haley,2706,34.7,2023-11-07,9.3,2.3,0.7,2023-11-09,362
13181,Redfield & Wilton Strategies,Nikki Haley,1775,42.2,2023-12-24,5.5,1.7,0.7,2024-01-02,308
12988,Gallup,Joe Biden,1479,41.9,2023-04-09,2.1,1.9,-0.2,2023-04-14,571
15258,Ipsos,Donald Trump,2072,60.6,2023-05-16,8.2,3.1,0.5,2023-05-17,538
13290,Gallup,Joe Biden,997,31.1,2023-03-14,6,3.5,0.9,2023-03-22,594
12225,TIPP Insights,Donald Trump,2599,67.8,2023-07-24,6.6,2.3,1.4,2023-07-25,469
18782,YouGov,Kamala Harris,2304,37.6,2023-10-17,2.7,2.7,1.4,2023-10-20,382
16360,TIPP Insights,Kamala Harris,2952,41.5,2023-07-27,4.1,3.4,0.9,2023-07-28,466
10298,TIPP Insights,Donald Trump,2900,34,2023-04-17,6.4,3.7,-1.1,2023-04-27,558
15377,Ipsos,Nikki Haley,2308,69.8,2023-12-14,8.9,1.5,-0.2,2023-12-23,318
18448,Redfield & Wilton Strategies,Kamala Harris,2706,52.1,2023-08-10,8.3,3.7,0.3,2023-08-16,447
17151,Redfield & Wilton Strategies,Nikki Haley,2871,33.2,2023-04-22,5,2.3,1.5,2023-04-24,561
11901,Ipsos,Donald Trump,2766,32.2,2023-01-22,9.3,1.3,-1.1,2023-01-30,645
11608,Redfield & Wilton Strategies,Kamala Harris,2579,32,2023-09-24,8.2,1.5,1.4,2023-10-04,398
16447,Gallup,Donald Trump,2076,35.6,2023-10-26,6.3,2.3,1.5,2023-11-04,367
16749,Redfield & Wilton Strategies,Donald Trump,1160,32.9,2023-09-30,9.3,2.2,0.7,2023-10-03,399
15591,Ipsos,Joe Biden,2731,45.2,2023-08-04,8.8,1.1,-0.4,2023-08-12,451
14356,YouGov,Nikki Haley,2694,69.3,2023-11-28,5,2,-1.1,2023-12-05,336
19086,Redfield & Wilton Strategies,Kamala Harris,2881,55.1,2023-07-06,4,1.5,-0.2,2023-07-08,486
19212,TIPP Insights,Joe Biden,1874,65.1,2023-05-13,7.5,1.6,-0.3,2023-05-22,533
19413,Redfield & Wilton Strategies,Joe Biden,943,34.8,2023-11-05,8.7,3.2,-0.4,2023-11-08,363
15760,Ipsos,Nikki Haley,2322,55.9,2023-05-14,2,2.8,1.3,2023-05-19,536
18837,Ipsos,Joe Biden,1562,38.1,2023-12-25,5.8,1.5,-0.9,2024-01-01,309
14443,Ipsos,Donald Trump,1159,43.8,2023-01-18,2.9,2.4,-0.8,2023-01-23,652
13556,TIPP Insights,Joe Biden,931,56.5,2023-06-26,2.3,3.9,1.4,2023-07-05,489
19735,TIPP Insights,Kamala Harris,502,58.3,2023-06-11,4.2,3.7,-0.5,2023-06-12,512
10873,Gallup,Donald Trump,1188,41.5,2023-05-10,9.7,3.6,-0.8,2023-05-19,536
11935,Redfield & Wilton Strategies,Donald Trump,686,59.3,2023-07-09,4.6,2.8,1.3,2023-07-14,480
19557,TIPP Insights,Joe Biden,2201,53,2023-06-10,7.2,3.3,-0.1,2023-06-20,504
19576,Redfield & Wilton Strategies,Donald Trump,1761,70,2023-01-13,6,3.9,0.5,2023-01-19,656
16635,TIPP Insights,Kamala Harris,1586,31.4,2023-03-22,9.2,3,0,2023-04-01,584
10250,Ipsos,Nikki Haley,1795,30.5,2023-11-07,7.3,2.1,-0.6,2023-11-11,360
19022,YouGov,Kamala Harris,890,59.6,2023-08-16,1.7,1.5,-0,2023-08-17,446
11584,TIPP Insights,Kamala Harris,999,46.3,2023-08-26,7.2,1.7,0.2,2023-09-02,430
18674,Redfield & Wilton Strategies,Donald Trump,1561,32.4,2023-01-09,6.4,3.1,-1.4,2023-01-12,663
11003,Redfield & Wilton Strategies,Kamala Harris,1767,51.5,2023-01-08,2.5,2.9,1.5,2023-01-15,660
15649,YouGov,Kamala Harris,731,60.3,2023-08-03,4.9,1.4,-0.8,2023-08-12,451
18674,YouGov,Joe Biden,983,62.1,2023-02-06,4.2,3.1,-0.1,2023-02-15,629
13901,Ipsos,Joe Biden,1366,60.4,2023-03-12,1.7,1.9,-0,2023-03-19,597
18562,Redfield & Wilton Strategies,Kamala Harris,2730,59.6,2023-05-26,8.6,1.7,0.4,2023-05-28,527
18740,YouGov,Kamala Harris,2219,53.2,2023-04-01,4.6,3.8,1.3,2023-04-04,581
12060,YouGov,Kamala Harris,628,58.8,2023-12-04,2,3.8,1,2023-12-06,335
18522,TIPP Insights,Donald Trump,2633,32.3,2023-11-21,6.2,3.9,0.2,2023-11-30,341
14192,YouGov,Nikki Haley,1315,47.5,2023-07-15,6.9,1.9,-0.9,2023-07-19,475
18795,Ipsos,Donald Trump,2201,31.3,2023-05-14,4.4,2.8,0.5,2023-05-16,539
17665,Gallup,Kamala Harris,749,60.9,2023-03-19,4.3,1.9,1.4,2023-03-25,591
17047,YouGov,Kamala Harris,616,43.1,2023-10-06,2,1.1,0.3,2023-10-08,394
11255,Ipsos,Donald Trump,2188,64.8,2023-05-11,8.5,1.8,-1.1,2023-05-14,541
10903,Gallup,Joe Biden,1451,46.8,2023-07-18,8,2.7,0,2023-07-21,473
16988,YouGov,Nikki Haley,2238,36.7,2023-08-26,5.6,2.7,-0.8,2023-09-01,431
14725,Redfield & Wilton Strategies,Kamala Harris,1767,62.3,2023-08-20,3.5,3.1,-1.2,2023-08-29,434
12631,TIPP Insights,Kamala Harris,1401,40,2023-12-16,7.3,2.3,-0.6,2023-12-24,317
18755,Ipsos,Donald Trump,1304,65.4,2023-02-16,2.8,3.4,-0,2023-02-19,625
17776,Gallup,Donald Trump,2968,53.9,2023-08-19,8.2,2.9,-0.2,2023-08-20,443
13267,YouGov,Kamala Harris,1878,35.2,2023-01-31,9.8,1.1,-0.2,2023-02-01,643
16938,Gallup,Donald Trump,2971,57.4,2023-10-15,8.9,2.9,-0.3,2023-10-17,385
16224,Gallup,Kamala Harris,2063,61.8,2023-04-08,8.1,1.2,-1.3,2023-04-17,568
15948,TIPP Insights,Joe Biden,1955,63.1,2023-04-26,1.1,3.9,-0.1,2023-04-30,555
19126,YouGov,Nikki Haley,1503,40.7,2023-07-07,5,2.6,-0.7,2023-07-13,481
19244,YouGov,Nikki Haley,1485,44.2,2023-09-21,4,2.7,1.3,2023-09-25,407
19966,Ipsos,Kamala Harris,1388,66.3,2023-04-06,6.6,1.5,0.8,2023-04-10,575
11200,Ipsos,Kamala Harris,1491,30.9,2023-10-24,7.4,1.4,-1.3,2023-10-28,374
12856,Ipsos,Joe Biden,2744,47.5,2023-12-26,4,3.9,0.3,2024-01-04,306
10458,TIPP Insights,Joe Biden,1126,62.1,2023-04-06,4.9,1.7,-0.7,2023-04-13,572
13991,Ipsos,Joe Biden,1156,59.7,2023-03-30,7.5,3.5,-0.8,2023-04-07,578
10599,TIPP Insights,Donald Trump,992,63.1,2023-07-15,10,3.2,0.9,2023-07-16,478
11403,Ipsos,Kamala Harris,1229,52.5,2023-12-10,2.4,2,0.5,2023-12-19,322
12910,Gallup,Joe Biden,2777,40.9,2023-06-18,8.9,3.1,0.6,2023-06-23,501
16763,Redfield & Wilton Strategies,Donald Trump,2812,60.1,2023-09-19,7.6,3.4,1.3,2023-09-29,403
19778,Redfield & Wilton Strategies,Donald Trump,2950,65.9,2023-11-18,7.8,3.6,-1.4,2023-11-22,349
15481,TIPP Insights,Joe Biden,2892,40,2023-10-07,3.5,3.5,0.5,2023-10-13,389
11351,TIPP Insights,Donald Trump,1864,66,2023-10-01,7.3,2.6,-1.2,2023-10-02,400
10368,Ipsos,Nikki Haley,2698,63.5,2023-07-10,1,1.5,-1.2,2023-07-14,480
14526,Ipsos,Nikki Haley,1534,43.4,2023-10-05,2.9,3.7,0.2,2023-10-11,391
12288,Ipsos,Donald Trump,1038,31.1,2023-02-06,4.1,2,-0.6,2023-02-08,636
17886,Redfield & Wilton Strategies,Joe Biden,2170,34,2023-11-06,8.1,3.7,-1.1,2023-11-12,359
17945,Redfield & Wilton Strategies,Kamala Harris,2782,50.5,2023-07-28,7.5,1.5,-0.8,2023-08-07,456
15781,TIPP Insights,Kamala Harris,2919,49.9,2023-03-25,4,2.9,1.3,2023-04-01,584
10011,Redfield & Wilton Strategies,Nikki Haley,2850,47.1,2023-01-12,7.5,1.6,1.3,2023-01-15,660
10621,Ipsos,Donald Trump,2335,54.6,2023-09-03,8.1,1.1,-0.7,2023-09-10,422
17972,Redfield & Wilton Strategies,Kamala Harris,2125,32.3,2023-07-27,7.3,1.2,1,2023-08-02,461
17696,Ipsos,Joe Biden,620,69.2,2023-02-06,4.7,1.1,-0.4,2023-02-07,637
12602,Ipsos,Donald Trump,1743,66.6,2023-08-26,7,4,1.2,2023-09-03,429
17504,TIPP Insights,Kamala Harris,2178,64.2,2023-06-12,4.7,3,1.4,2023-06-22,502
15088,Gallup,Nikki Haley,625,32.4,2023-11-20,3.4,3.5,0.4,2023-11-27,344
15053,Ipsos,Donald Trump,1687,40,2023-02-25,8.4,3.9,1.2,2023-02-28,616
13200,Gallup,Donald Trump,1249,30.4,2023-01-12,3.1,1.2,-0.7,2023-01-18,657
16037,YouGov,Nikki Haley,1965,34.7,2023-06-20,6,3.9,-0.1,2023-06-21,503
12391,Redfield & Wilton Strategies,Kamala Harris,2805,67.4,2023-06-23,3.3,3.8,0.8,2023-06-27,497
11167,Redfield & Wilton Strategies,Donald Trump,880,51.7,2023-09-14,1.4,1.3,0.2,2023-09-15,417
10943,Gallup,Kamala Harris,1122,65.7,2023-07-07,8.7,3.9,0.7,2023-07-16,478
15142,Ipsos,Donald Trump,2614,46.2,2023-06-22,8.6,3.2,-1.1,2023-06-23,501
18518,Redfield & Wilton Strategies,Joe Biden,2687,45.3,2023-08-31,1.7,3.4,0.3,2023-09-09,423
17691,Redfield & Wilton Strategies,Donald Trump,601,57.5,2023-03-31,5,2.7,-0.5,2023-04-05,580
12410,YouGov,Joe Biden,2200,63.9,2023-06-13,2.1,2.7,-0.4,2023-06-21,503
13373,YouGov,Kamala Harris,2402,51.9,2023-12-28,1.1,2,0.1,2024-01-05,305
11178,Ipsos,Nikki Haley,2384,48.6,2023-10-11,7.4,1.9,0.6,2023-10-13,389
12566,Redfield & Wilton Strategies,Donald Trump,2380,36.6,2023-12-23,9.5,3.4,0.2,2023-12-25,316
17792,Gallup,Joe Biden,1320,58.6,2023-10-21,7.6,3.2,0.4,2023-10-23,379
17384,YouGov,Joe Biden,931,59.6,2023-02-16,6.9,3.6,0.4,2023-02-25,619
18681,YouGov,Joe Biden,2100,51,2023-03-20,9.3,3.7,-1.4,2023-03-27,589
11087,YouGov,Donald Trump,513,41.4,2023-03-27,9.9,3.1,-0.4,2023-04-05,580
14860,TIPP Insights,Nikki Haley,1653,33.9,2023-08-19,1.2,3.9,0.4,2023-08-20,443
11596,Ipsos,Nikki Haley,1752,45.1,2023-04-07,3,2,1.2,2023-04-12,573
13675,YouGov,Donald Trump,1773,40.2,2023-03-16,8.4,2.6,0.2,2023-03-25,591
16855,YouGov,Kamala Harris,1443,61.2,2023-04-01,9.5,2.7,-0.5,2023-04-04,581
13285,YouGov,Kamala Harris,928,65.8,2023-06-12,2.9,1.3,0.6,2023-06-15,509
12577,Gallup,Nikki Haley,2073,40.1,2023-10-26,7.8,1.8,1,2023-11-04,367
16324,YouGov,Kamala Harris,2859,46.8,2023-03-27,5.6,3.3,-0,2023-03-30,586
19312,Gallup,Nikki Haley,2775,60.5,2023-12-14,6.9,1.9,0.7,2023-12-16,325
14080,TIPP Insights,Joe Biden,2988,34.5,2023-06-28,1.9,1.3,1.1,2023-06-29,495
11764,TIPP Insights,Donald Trump,1639,47.4,2023-05-15,6.1,1.6,-0.7,2023-05-21,534
11692,Gallup,Joe Biden,981,45.4,2023-01-11,3.2,2.7,-1,2023-01-13,662
11317,TIPP Insights,Donald Trump,1851,36,2023-01-21,2.6,3.5,0.8,2023-01-27,648
13586,YouGov,Donald Trump,2233,58,2023-10-15,9.3,3,0.4,2023-10-20,382
15623,Redfield & Wilton Strategies,Nikki Haley,1770,58,2023-05-15,6.4,2.5,-1.3,2023-05-23,532
14783,Redfield & Wilton Strategies,Joe Biden,1809,41.4,2023-11-23,1.9,1.5,1.2,2023-11-25,346
18021,Gallup,Donald Trump,1831,42.7,2023-03-08,4.9,1.8,0.8,2023-03-11,605
17759,Redfield & Wilton Strategies,Kamala Harris,772,42.6,2023-12-15,7,3.2,0,2023-12-21,320
10402,Ipsos,Kamala Harris,2706,58.4,2023-09-16,6.5,1.3,0.3,2023-09-17,415
14469,TIPP Insights,Nikki Haley,2770,53.3,2023-06-26,1.2,3.3,0.4,2023-06-27,497
10519,Gallup,Donald Trump,2769,46.3,2023-06-14,5.4,3,-1.3,2023-06-17,507
18909,Gallup,Donald Trump,1219,45.9,2023-12-05,5.2,4,-0.7,2023-12-06,335
16214,YouGov,Joe Biden,2881,49.6,2023-10-22,4.3,1.4,1.1,2023-10-29,373
12239,YouGov,Donald Trump,2969,62.7,2023-04-10,5.7,2.4,-0.9,2023-04-12,573
15368,Gallup,Kamala Harris,2259,54.9,2023-03-01,4.6,1.5,-0.4,2023-03-06,610
18197,TIPP Insights,Joe Biden,2548,47.6,2023-08-26,8.1,3.6,-0.2,2023-09-05,427
16080,Redfield & Wilton Strategies,Kamala Harris,569,49.4,2023-07-07,7.6,1,1.4,2023-07-15,479
19442,YouGov,Donald Trump,885,57.1,2023-08-31,4.6,1.7,1,2023-09-04,428
18083,YouGov,Kamala Harris,884,55.8,2023-11-19,5,2,-0.5,2023-11-22,349
19506,TIPP Insights,Joe Biden,1241,34.6,2023-10-08,7.6,3.5,0.5,2023-10-13,389
10394,TIPP Insights,Kamala Harris,2608,49.4,2023-01-23,8.3,3.9,0.9,2023-01-27,648
